holding_period,token_address,total_trades,high_confidence_trades,avg_return_multiple,max_return_multiple,points_analyzed,price_moves_5x,signals_generated
45,12HXYh3MHmyuraHtd82fGEKSwuhdsbPo1utXQKvXpump,1,1,5.286948412736541,5.286948412736541,24946,1,1
45,265sKc6C7wRcEkuLqzPCWUziHCqsp2Q1gXJo2H9Bpump,6,5,24.09064397380207,35.135000429137754,43155,11,6
45,28WdSGcReQCRW7WBWKsfo2AdVE5TTTyg6Z5Mi8jBFXmN,5,5,5.330134368863507,5.967073139893647,24123,6,5
45,2ban8tt99mhYf9hCXygvSUWDTxNAq54YQGGP3iNFpump,3,3,5.661451144213167,6.138256578658972,23717,5,3
45,2E3qS1oSVbeLxQEhdSrVDMn5ruhCg5JQCqPXKpwWpump,5,4,6.087069289272187,6.982582761527664,30461,5,5
45,2kaRSuDcz1V1kqq1sDmP23Wy98jutHQQgr5fGDWRpump,7,6,5.700548124602338,7.808604537801744,29461,9,7
45,2KgAN8nLAU74wjiyKi85m4ZT6Z9MtqrUTGfse8Xapump,12,10,7.308533432488088,8.057175751909776,43155,17,12
45,2m2zsQkktkiC96iMtc8X5nXinscXrgLUvAowXvU3pump,3,3,7.553765806520082,8.220906132949098,28261,5,3
45,2odHeumkiJx46YyNHeZvDjMwsoNhpAgFQuipT96npump,6,6,7.249731194374039,10.766331706818224,24559,8,6
45,2xtF1kZQQ14dvVjTsAASPM5Jxax9Gpat8tMETegqpump,5,4,6.557282279188749,9.600563496205318,27545,6,5
45,33aY2XDYFfbANyBKGiAGUb7kYb4sY9SqPcUZPrwRpump,8,6,6.048784477094445,7.089617414501847,23790,12,8
30,12HXYh3MHmyuraHtd82fGEKSwuhdsbPo1utXQKvXpump,1,1,5.136760265508673,5.136760265508673,24961,1,1
30,265sKc6C7wRcEkuLqzPCWUziHCqsp2Q1gXJo2H9Bpump,6,5,24.09064397380207,35.135000429137754,43170,10,6
30,28WdSGcReQCRW7WBWKsfo2AdVE5TTTyg6Z5Mi8jBFXmN,1,1,5.720170120313213,5.720170120313213,24138,1,1
30,2ban8tt99mhYf9hCXygvSUWDTxNAq54YQGGP3iNFpump,3,3,5.1681251748439685,5.2629769393946235,23732,3,3
30,2E3qS1oSVbeLxQEhdSrVDMn5ruhCg5JQCqPXKpwWpump,2,2,5.690296615454628,6.076951848420549,30476,2,2
30,2kaRSuDcz1V1kqq1sDmP23Wy98jutHQQgr5fGDWRpump,1,1,5.6554450871238515,5.6554450871238515,29476,1,1
30,2KgAN8nLAU74wjiyKi85m4ZT6Z9MtqrUTGfse8Xapump,3,3,5.829915545716066,5.99478981629713,43170,4,3
30,2odHeumkiJx46YyNHeZvDjMwsoNhpAgFQuipT96npump,3,3,5.531670906841369,5.97149794719139,24574,3,3
30,2xtF1kZQQ14dvVjTsAASPM5Jxax9Gpat8tMETegqpump,2,1,6.332985230942585,7.339848338018182,27560,3,2
30,33aY2XDYFfbANyBKGiAGUb7kYb4sY9SqPcUZPrwRpump,3,2,5.4631533988471,5.692067440245083,23805,5,3
