token,start_time,end_time,total_minutes,data_points,coverage_percent,avg_gap_seconds,max_gap_minutes,min_price,max_price,price_volatility
12HXYh3MHmyuraHtd82fGEKSwuhdsbPo1utXQKvXpump,2024-10-29 01:57:00,2024-11-14 21:12:00,24195.0,24196,100.00413308534822,60.0,1.0,9.28031987874149e-06,0.0019464085585353,2.444332852747559
12HXYh3MHmyuraHtd82fGEKSwuhdsbPo1utXQKvXpump,2024-10-29 01:57:00,2024-11-15 10:27:00,24990.0,24991,100.00400160064025,60.0,1.0,9.038176438265393e-06,0.0019464085585353,2.4813778069252135
136em8joZqS2CWgCiHNUuK3cJf2fbWBrAV2jXtBsS3zg,2024-10-29 02:49:00,2024-11-14 21:06:00,24137.0,24138,100.00414301694494,60.0,1.0,5.6276914102592286e-05,0.0143425816493883,4.617951932613685
136em8joZqS2CWgCiHNUuK3cJf2fbWBrAV2jXtBsS3zg,2024-10-29 02:49:00,2024-11-15 10:12:00,24923.0,24924,100.00401235806284,60.0,1.0,5.6276914102592286e-05,0.0143425816493883,4.654887055333332
265sKc6C7wRcEkuLqzPCWUziHCqsp2Q1gXJo2H9Bpump,2024-10-15 21:03:00,2024-11-14 21:01:00,43198.0,43199,100.00231492198712,60.0,1.0,4.004105973558123e-06,0.0002369140590474,0.6718316442321544
265sKc6C7wRcEkuLqzPCWUziHCqsp2Q1gXJo2H9Bpump,2024-10-16 09:58:00,2024-11-15 09:57:00,43199.0,43200,100.00231486839972,60.0,1.0,4.004105973558123e-06,0.0002369140590474,0.677094656723828
27EnpSWPXANqnYQqTD9Pe1QPJgQzgawNzj7DATcipump,2024-10-29 15:39:00,2024-11-14 21:47:00,23408.0,23409,100.00427204374573,60.0,1.0,3.392110067202931e-06,0.0001123607746607,0.5009627126626609
27EnpSWPXANqnYQqTD9Pe1QPJgQzgawNzj7DATcipump,2024-10-29 15:39:00,2024-11-15 12:05:00,24266.0,24267,100.00412099233496,60.0,1.0,3.392110067202931e-06,0.0001123607746607,0.4896415166159425
28WdSGcReQCRW7WBWKsfo2AdVE5TTTyg6Z5Mi8jBFXmN,2024-10-29 16:03:00,2024-11-14 21:20:00,23357.0,23358,100.0042813717515,60.0,1.0,1.715602247971423e-06,9.797352283188052e-05,1.152164080085637
28WdSGcReQCRW7WBWKsfo2AdVE5TTTyg6Z5Mi8jBFXmN,2024-10-29 16:03:00,2024-11-15 10:50:00,24167.0,24168,100.00413787396036,60.0,1.0,1.715602247971423e-06,9.797352283188052e-05,1.1091991734454107
2aVCSF8R74m5Nh18nXUSx1YDNS3Zxj2kQCa3mrdgpump,2024-10-29 05:51:00,2024-11-14 20:20:00,23909.0,23910,100.00418252540884,60.0,1.0,9.21804222826564e-06,0.000500756235159,1.4616963775773402
2aVCSF8R74m5Nh18nXUSx1YDNS3Zxj2kQCa3mrdgpump,2024-10-29 05:51:00,2024-11-15 08:01:00,24610.0,24611,100.00406338886631,60.0,1.0,9.21804222826564e-06,0.000500756235159,1.4095927729503397
