,price_mean,price_std,price_min,price_max,price_last,price_change_1m,volatility_1m,price_change_3m,volatility_3m,price_change_5m,volatility_5m,price_change_10m,volatility_10m,price_change_15m,volatility_15m,price_trend_slope,price_trend_r2,price_acceleration,volume_total,volume_mean,volume_std,volume_1m,trades_count_1m,buy_sell_ratio_1m,volume_3m,trades_count_3m,buy_sell_ratio_3m,volume_5m,trades_count_5m,buy_sell_ratio_5m,volume_10m,trades_count_10m,buy_sell_ratio_10m,volume_15m,trades_count_15m,buy_sell_ratio_15m,volume_trend_slope,volume_trend_r2,liquidity,holder_count,market_count,unique_wallets_24h,trades_24h,data_points_count,trades_count
price_mean,1.0,0.3582064804270101,0.9956888101253457,0.8044659208618372,0.8044659208618372,,,-0.11518153054802274,-0.21233657980639759,-0.14519473594165277,-0.20093784927755065,-0.2000313680805496,-0.21125111449206588,-0.20527580317161712,-0.21752118156232292,0.5191155211471311,-0.10142157498621919,-0.15463122802479273,0.8116977034436227,0.8116977034436224,0.816416299871758,0.8073975554914046,,,0.8854501964321018,,-0.056876374661420155,0.7740915827499525,,0.81257246487073,0.8116977034436227,,0.2235635385419593,0.8116977034436227,,0.2235635385419593,0.8177775345773739,-0.104871180136227,-0.3521452276676799,0.04411167909505489,0.1501836636247264,-0.15596395320455647,-0.11522555811308764,0.02041992685602884,
price_std,0.3582064804270101,1.0,0.28505369053769464,0.8352566618535628,0.8352566618535628,,,0.8218433817124596,0.6222510391025099,0.7699064154257557,0.6179824515967774,0.46354026555560496,0.6031319073918661,0.31789919003702216,0.5880620901006088,0.9530637260693511,-0.40553592527159876,0.7437124002680225,0.15842072105134622,0.1584207210513462,0.1503101672210097,0.2143538440390438,,,0.2385330352088446,,-0.07971491476313379,0.18685593213251273,,0.3826682828065785,0.15842072105134622,,-0.08024973227459774,0.15842072105134622,,-0.08024973227459774,0.26948770307324094,0.2399800895065478,-0.43829241762628435,-0.3936255975189658,-0.06396355654191563,-0.19692716470171295,-0.1458368432855716,0.025304130319827853,
price_min,0.9956888101253457,0.28505369053769464,1.0,0.7593908482994538,0.7593908482994538,,,-0.17400783148259394,-0.2598898896142097,-0.2012007322069123,-0.2492421592825748,-0.2364900918612354,-0.25951234555930736,-0.23189587594121414,-0.2648587167742591,0.4454077260664275,-0.08166325061654049,-0.20904056337085442,0.8137431312649037,0.8137431312649038,0.8230002042422218,0.7935973097201974,,,0.89012012447269,,-0.052860455572553214,0.7787327665582191,,0.7990833653428808,0.8137431312649037,,0.2320013938450484,0.8137431312649037,,0.2320013938450484,0.8210980900863554,-0.12049940548693709,-0.33060263610701224,0.06331875638614537,0.15211202808429752,-0.14599701891548883,-0.10784160841438784,0.019201801634441438,
price_max,0.8044659208618372,0.8352566618535628,0.7593908482994538,1.0,1.0,,,0.48192989639704326,0.296736508306575,0.4308244702349855,0.2946342040626058,0.19689789648255052,0.27682388996767,0.0974518242252889,0.2638748385226504,0.8778737252229807,-0.3318962512614736,0.4083146953003357,0.5565524268678907,0.5565524268678902,0.5506955065977654,0.6005689042842929,,,0.645121535036146,,-0.08394403141553404,0.5503928813738918,,0.7057363991546902,0.5565524268678907,,0.07204309687782832,0.5565524268678907,,0.07204309687782832,0.6264449459370278,0.09934439846438223,-0.48423553051379825,-0.23026592581616734,0.04474246008139595,-0.21634622443076498,-0.1599761190506643,0.028025663686616183,
price_last,0.8044659208618372,0.8352566618535628,0.7593908482994538,1.0,1.0,,,0.48192989639704326,0.296736508306575,0.4308244702349855,0.2946342040626058,0.19689789648255052,0.27682388996767,0.0974518242252889,0.2638748385226504,0.8778737252229807,-0.3318962512614736,0.4083146953003357,0.5565524268678907,0.5565524268678902,0.5506955065977654,0.6005689042842929,,,0.645121535036146,,-0.08394403141553404,0.5503928813738918,,0.7057363991546902,0.5565524268678907,,0.07204309687782832,0.5565524268678907,,0.07204309687782832,0.6264449459370278,0.09934439846438223,-0.48423553051379825,-0.23026592581616734,0.04474246008139595,-0.21634622443076498,-0.1599761190506643,0.028025663686616183,
price_change_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volatility_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
price_change_3m,-0.11518153054802274,0.8218433817124596,-0.17400783148259394,0.48192989639704326,0.48192989639704326,,,1.0,0.8851042201174442,0.9813506325531139,0.8607134431907247,0.724084830128674,0.8450444709073297,0.5774074350081315,0.8353000203181948,0.6246506703667823,-0.4633154700102926,0.9655616032105009,-0.286917893808658,-0.286917893808658,-0.31483696629256575,-0.16921475480778012,,,-0.25532014708603146,,-0.06579510378196554,-0.24732033125697553,,-0.04666015516740318,-0.286917893808658,,-0.20120590474461833,-0.286917893808658,,-0.20120590474461833,-0.18262732888031208,0.30003564418202355,-0.33842130818667515,-0.4967214230881697,-0.1558297947390729,-0.15297831371892306,-0.11360098058079618,0.019501607881010786,
volatility_3m,-0.21233657980639759,0.6222510391025099,-0.2598898896142097,0.296736508306575,0.296736508306575,,,0.8851042201174442,1.0,0.9538473214965743,0.9943293035768869,0.9467722356955631,0.9879884124164666,0.8731898713558556,0.9855613365097802,0.43827769055839977,-0.5604972747361354,0.9699756636284979,-0.4009505132641456,-0.40095051326414555,-0.4417654489152478,-0.2443973578788335,,,-0.372759150813319,,-0.07627064543286448,-0.3542770074705923,,-0.23440824127553908,-0.4009505132641456,,-0.1843169822404415,-0.4009505132641456,,-0.1843169822404415,-0.2877674851792205,0.20649715805304655,-0.4114827537300266,-0.6199403163526427,-0.1800961028965955,-0.1603210214855251,-0.10885601693569735,0.029848996067637742,
price_change_5m,-0.14519473594165277,0.7699064154257557,-0.2012007322069123,0.4308244702349855,0.4308244702349855,,,0.9813506325531139,0.9538473214965743,1.0,0.9400551288835898,0.8431599706322027,0.92973826448943,0.7235771316573554,0.9232862730075886,0.575632315219419,-0.5095065001089913,0.9975656609462461,-0.3310126535479339,-0.3310126535479335,-0.3633660510533662,-0.1957627511012868,,,-0.2947918470827828,,-0.07660671941688321,-0.2855710214299566,,-0.11664712444816216,-0.3310126535479339,,-0.1887515140070267,-0.3310126535479339,,-0.1887515140070267,-0.21157241332310575,0.2602081054793575,-0.3908658608581365,-0.5667723193640652,-0.17986882720765654,-0.17562142939369166,-0.13105212479419467,0.022466968608110833,
