quote,base,basePrice,quotePrice,txHash,source,blockUnixTime,txType,owner,side,alias,pricePair,from,to,tokenPrice,poolId,timestamp
"{'symbol': 'server', 'decimals': 6, 'address': '9mt4LkTG28B1mQKPjCKkGwMjGywS9q3v59XBomFNpump', 'amount': 157849999987, 'uiAmount': 157849.999987, 'price': 7.640075181344624e-06, 'nearestPrice': 7.5786845141508476e-06, 'changeAmount': -157849999987, 'uiChangeAmount': -157849.999987}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 7201964, 'feeInfo': None, 'uiAmount': 0.007201964, 'price': None, 'nearestPrice': 167.4523598390561, 'changeAmount': 7201964, 'uiChangeAmount': 0.007201964}",,7.640075181344624e-06,23fiGaxXWCrSMUHQ9Xpmer4tb6V7nskXJsAqiZVSgWjmDK3nwgdNQt5rttcXzJ3NmxNv5pzAUwWGiArfre2wcHMD,raydium,1729695426,swap,7YJMZU63LeTZqRSLpcDsCKqY1FYxMGmSbjYkiJXMQ3r7,sell,,4.562536585741609e-08,"{'symbol': 'server', 'decimals': 6, 'address': '9mt4LkTG28B1mQKPjCKkGwMjGywS9q3v59XBomFNpump', 'amount': 157849999987, 'uiAmount': 157849.999987, 'price': 7.640075181344624e-06, 'nearestPrice': 7.5786845141508476e-06, 'changeAmount': -157849999987, 'uiChangeAmount': -157849.999987}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 7201964, 'feeInfo': None, 'uiAmount': 0.007201964, 'price': None, 'nearestPrice': 167.4523598390561, 'changeAmount': 7201964, 'uiChangeAmount': 0.007201964}",7.640075181344624e-06,6fDdejTDWDWaDxG1YrKLn9XnKC1o1CWLjymNYVhV1qw2,2024-10-23 14:57:06
"{'symbol': 'server', 'decimals': 6, 'address': '9mt4LkTG28B1mQKPjCKkGwMjGywS9q3v59XBomFNpump', 'amount': 637267974302, 'uiAmount': 637267.974302, 'price': 7.5786845141508476e-06, 'nearestPrice': 7.64539145552238e-06, 'changeAmount': -637267974302, 'uiChangeAmount': -637267.974302}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 29107127, 'feeInfo': None, 'uiAmount': 0.029107127, 'price': None, 'nearestPrice': 165.9268167623293, 'changeAmount': 29107127, 'uiChangeAmount': 0.029107127}",,7.5786845141508476e-06,4t2JNPgi8xmTwpSh7ZQNQU9d4D4zaRzosmtDtrwjaQ5zCE8sB5ky4rKSdvcnDjR3AKdvvrtr8QSk3zCRWsSPPxuD,raydium,1729653269,swap,5diTEHQuDFifheaqKuZNnEwC492dVWVCL7k8SdBAD7i3,sell,,4.5674862340102766e-08,"{'symbol': 'server', 'decimals': 6, 'address': '9mt4LkTG28B1mQKPjCKkGwMjGywS9q3v59XBomFNpump', 'amount': 637267974302, 'uiAmount': 637267.974302, 'price': 7.5786845141508476e-06, 'nearestPrice': 7.64539145552238e-06, 'changeAmount': -637267974302, 'uiChangeAmount': -637267.974302}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 29107127, 'feeInfo': None, 'uiAmount': 0.029107127, 'price': None, 'nearestPrice': 165.9268167623293, 'changeAmount': 29107127, 'uiChangeAmount': 0.029107127}",7.5786845141508476e-06,6fDdejTDWDWaDxG1YrKLn9XnKC1o1CWLjymNYVhV1qw2,2024-10-23 03:14:29
"{'symbol': 'server', 'decimals': 6, 'address': '9mt4LkTG28B1mQKPjCKkGwMjGywS9q3v59XBomFNpump', 'amount': 1439688126115, 'uiAmount': 1439688.126115, 'price': 7.64539145552238e-06, 'nearestPrice': 7.68714756954063e-06, 'changeAmount': -1439688126115, 'uiChangeAmount': -1439688.126115}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 65944191, 'feeInfo': None, 'uiAmount': 0.065944191, 'price': None, 'nearestPrice': 166.91355419034025, 'changeAmount': 65944191, 'uiChangeAmount': 0.065944191}",,7.64539145552238e-06,3FU9VQTFdWrE3ZkqabD6xSSkumbCQ9QRt2Fv3ZkbPhUFxYVdgK5XRyLRPbtcK516qaw1JMkcw2qgY9Rb21uCoYpc,raydium,1729646605,swap,3i2BnSLFy3XzjjPvFkujqx4EF5HQXQ9qtNa57P1Ti9ry,sell,,4.580449737954738e-08,"{'symbol': 'server', 'decimals': 6, 'address': '9mt4LkTG28B1mQKPjCKkGwMjGywS9q3v59XBomFNpump', 'amount': 1439688126115, 'uiAmount': 1439688.126115, 'price': 7.64539145552238e-06, 'nearestPrice': 7.68714756954063e-06, 'changeAmount': -1439688126115, 'uiChangeAmount': -1439688.126115}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 65944191, 'feeInfo': None, 'uiAmount': 0.065944191, 'price': None, 'nearestPrice': 166.91355419034025, 'changeAmount': 65944191, 'uiChangeAmount': 0.065944191}",7.64539145552238e-06,6fDdejTDWDWaDxG1YrKLn9XnKC1o1CWLjymNYVhV1qw2,2024-10-23 01:23:25
"{'symbol': 'server', 'decimals': 6, 'address': '9mt4LkTG28B1mQKPjCKkGwMjGywS9q3v59XBomFNpump', 'amount': 175178078426, 'uiAmount': 175178.078426, 'price': 7.68714756954063e-06, 'nearestPrice': 7.679389278900517e-06, 'changeAmount': -175178078426, 'uiChangeAmount': -175178.078426}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 8041629, 'feeInfo': None, 'uiAmount': 0.008041629, 'price': None, 'nearestPrice': 167.45608878614317, 'changeAmount': 8041629, 'uiChangeAmount': 0.008041629}",,7.68714756954063e-06,BRXzQNtBv8ekEBzX5NXu3Mxc2VPsNTV9r2gKVHyXkNKryriohomcSvectEitG98nmW91MkJSDQxg9ooWWPL43jG,raydium,1729596295,swap,785WXEM4sErMaKYkaofd8z9rCS3jXaqak1BEFwxDDjAv,sell,,4.590545273846581e-08,"{'symbol': 'server', 'decimals': 6, 'address': '9mt4LkTG28B1mQKPjCKkGwMjGywS9q3v59XBomFNpump', 'amount': 175178078426, 'uiAmount': 175178.078426, 'price': 7.68714756954063e-06, 'nearestPrice': 7.679389278900517e-06, 'changeAmount': -175178078426, 'uiChangeAmount': -175178.078426}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 8041629, 'feeInfo': None, 'uiAmount': 0.008041629, 'price': None, 'nearestPrice': 167.45608878614317, 'changeAmount': 8041629, 'uiChangeAmount': 0.008041629}",7.68714756954063e-06,6fDdejTDWDWaDxG1YrKLn9XnKC1o1CWLjymNYVhV1qw2,2024-10-22 11:24:55
"{'symbol': 'server', 'decimals': 6, 'address': '9mt4LkTG28B1mQKPjCKkGwMjGywS9q3v59XBomFNpump', 'amount': 978845880025, 'uiAmount': 978845.880025, 'price': 7.679389278900517e-06, 'nearestPrice': 7.620625513548732e-06, 'changeAmount': -978845880025, 'uiChangeAmount': -978845.880025}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 45005366, 'feeInfo': None, 'uiAmount': 0.045005366, 'price': None, 'nearestPrice': 167.0231624548932, 'changeAmount': 45005366, 'uiChangeAmount': 0.045005366}",,7.679389278900517e-06,2cN3NsQoS8BeMzpmsWNTSBNuK1YeMzwRgKELNZ4CbdSByuBr1SFQN6Ly9EUxEAbC9hgJs84ERSK6bzETyWUJgPJ,raydium,1729551980,swap,D7DDAoAbD2nVbkvf1DkRDD4ktoaZRbFapeY1qTwqSch8,sell,,4.597798991486847e-08,"{'symbol': 'server', 'decimals': 6, 'address': '9mt4LkTG28B1mQKPjCKkGwMjGywS9q3v59XBomFNpump', 'amount': 978845880025, 'uiAmount': 978845.880025, 'price': 7.679389278900517e-06, 'nearestPrice': 7.620625513548732e-06, 'changeAmount': -978845880025, 'uiChangeAmount': -978845.880025}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 45005366, 'feeInfo': None, 'uiAmount': 0.045005366, 'price': None, 'nearestPrice': 167.0231624548932, 'changeAmount': 45005366, 'uiChangeAmount': 0.045005366}",7.679389278900517e-06,6fDdejTDWDWaDxG1YrKLn9XnKC1o1CWLjymNYVhV1qw2,2024-10-21 23:06:20
"{'symbol': 'server', 'decimals': 6, 'address': '9mt4LkTG28B1mQKPjCKkGwMjGywS9q3v59XBomFNpump', 'amount': 557584854738, 'uiAmount': 557584.854738, 'price': 7.620625513548732e-06, 'nearestPrice': 7.536077113391459e-06, 'changeAmount': -557584854738, 'uiChangeAmount': -557584.854738}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 25690538, 'feeInfo': None, 'uiAmount': 0.025690538, 'price': None, 'nearestPrice': 165.3972902391054, 'changeAmount': 25690538, 'uiChangeAmount': 0.025690538}",,7.620625513548732e-06,zNFCkrd8XFDt9L3xuCtVxUwkmWuswhQ2Cv8dUhr67h1BRhyYBp8tknhySxzSB8JMNLv2KxwS2cDP9RVFrzcH2Qc,raydium,1729534985,swap,8LsHCXxLcRmggf8WVjEA6KM6Ssd2QaRftwrKtG7U113E,sell,,4.607466967888065e-08,"{'symbol': 'server', 'decimals': 6, 'address': '9mt4LkTG28B1mQKPjCKkGwMjGywS9q3v59XBomFNpump', 'amount': 557584854738, 'uiAmount': 557584.854738, 'price': 7.620625513548732e-06, 'nearestPrice': 7.536077113391459e-06, 'changeAmount': -557584854738, 'uiChangeAmount': -557584.854738}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 25690538, 'feeInfo': None, 'uiAmount': 0.025690538, 'price': None, 'nearestPrice': 165.3972902391054, 'changeAmount': 25690538, 'uiChangeAmount': 0.025690538}",7.620625513548732e-06,6fDdejTDWDWaDxG1YrKLn9XnKC1o1CWLjymNYVhV1qw2,2024-10-21 18:23:05
"{'symbol': 'server', 'decimals': 6, 'address': '9mt4LkTG28B1mQKPjCKkGwMjGywS9q3v59XBomFNpump', 'amount': 1072661604874, 'uiAmount': 1072661.604874, 'price': 7.536077113391459e-06, 'nearestPrice': 7.340155905648212e-06, 'changeAmount': -1072661604874, 'uiChangeAmount': -1072661.604874}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 49533044, 'feeInfo': None, 'uiAmount': 0.049533044, 'price': None, 'nearestPrice': 163.19733087481364, 'changeAmount': 49533044, 'uiChangeAmount': 0.049533044}",,7.536077113391459e-06,5XhFAkjn1YjHQy6chqJpEA3wcv1qQ9Q2gAGABLAtZTFqH32uUjoF5kD1NL6WtqTV89g8zDUss1ead7EGkoji7JgB,raydium,1729523472,swap,C664yiogvw5B4R4SYZZxw8w1j8t7KE5f6X4BAGmhRPGD,sell,,4.6177698329957835e-08,"{'symbol': 'server', 'decimals': 6, 'address': '9mt4LkTG28B1mQKPjCKkGwMjGywS9q3v59XBomFNpump', 'amount': 1072661604874, 'uiAmount': 1072661.604874, 'price': 7.536077113391459e-06, 'nearestPrice': 7.340155905648212e-06, 'changeAmount': -1072661604874, 'uiChangeAmount': -1072661.604874}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 49533044, 'feeInfo': None, 'uiAmount': 0.049533044, 'price': None, 'nearestPrice': 163.19733087481364, 'changeAmount': 49533044, 'uiChangeAmount': 0.049533044}",7.536077113391459e-06,6fDdejTDWDWaDxG1YrKLn9XnKC1o1CWLjymNYVhV1qw2,2024-10-21 15:11:12
"{'symbol': 'server', 'decimals': 6, 'address': '9mt4LkTG28B1mQKPjCKkGwMjGywS9q3v59XBomFNpump', 'amount': 177321355948, 'uiAmount': 177321.355948, 'price': 7.340155905648212e-06, 'nearestPrice': 7.358486839094289e-06, 'changeAmount': -177321355948, 'uiChangeAmount': -177321.355948}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 8202316, 'feeInfo': None, 'uiAmount': 0.008202316, 'price': None, 'nearestPrice': 158.68279130665792, 'changeAmount': 8202316, 'uiChangeAmount': 0.008202316}",,7.340155905648212e-06,3htry6hHJstXvr5Mv9vpY5p6aqeQtjmUvxKvzGr1J866iaZUUdCnVvmxbqFVF1K8z2Fg76mJhxgYpRxLF73xGdBg,raydium,1729433482,swap,9RtmX2CZC6i1WrXiAoXFgo9iwokSyDBWnX87t2yXYpPK,sell,,4.625678591362313e-08,"{'symbol': 'server', 'decimals': 6, 'address': '9mt4LkTG28B1mQKPjCKkGwMjGywS9q3v59XBomFNpump', 'amount': 177321355948, 'uiAmount': 177321.355948, 'price': 7.340155905648212e-06, 'nearestPrice': 7.358486839094289e-06, 'changeAmount': -177321355948, 'uiChangeAmount': -177321.355948}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 8202316, 'feeInfo': None, 'uiAmount': 0.008202316, 'price': None, 'nearestPrice': 158.68279130665792, 'changeAmount': 8202316, 'uiChangeAmount': 0.008202316}",7.340155905648212e-06,6fDdejTDWDWaDxG1YrKLn9XnKC1o1CWLjymNYVhV1qw2,2024-10-20 14:11:22
"{'symbol': 'server', 'decimals': 6, 'address': '9mt4LkTG28B1mQKPjCKkGwMjGywS9q3v59XBomFNpump', 'amount': 1787293637490, 'uiAmount': 1787293.63749, 'price': 7.358486839094289e-06, 'nearestPrice': 7.387082364485535e-06, 'changeAmount': -1787293637490, 'uiChangeAmount': -1787293.63749}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 82897991, 'feeInfo': None, 'uiAmount': 0.082897991, 'price': None, 'nearestPrice': 158.65012590072448, 'changeAmount': 82897991, 'uiChangeAmount': 0.082897991}",,7.358486839094289e-06,2FFDqc2xAk5xVuhhnio6NxUk5fQqqV7TxK2RkojvHJyKz2KZMWLAxTCQhPu44WJwYRg2Zt1V6wXfRXqphrf4cNe8,raydium,1729428789,swap,eobKgoEGNNDC8FHeyjFW1E4LVzPovXM7EyccywoaNjR,sell,,4.638185313322015e-08,"{'symbol': 'server', 'decimals': 6, 'address': '9mt4LkTG28B1mQKPjCKkGwMjGywS9q3v59XBomFNpump', 'amount': 1787293637490, 'uiAmount': 1787293.63749, 'price': 7.358486839094289e-06, 'nearestPrice': 7.387082364485535e-06, 'changeAmount': -1787293637490, 'uiChangeAmount': -1787293.63749}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 82897991, 'feeInfo': None, 'uiAmount': 0.082897991, 'price': None, 'nearestPrice': 158.65012590072448, 'changeAmount': 82897991, 'uiChangeAmount': 0.082897991}",7.358486839094289e-06,6fDdejTDWDWaDxG1YrKLn9XnKC1o1CWLjymNYVhV1qw2,2024-10-20 12:53:09
"{'symbol': 'server', 'decimals': 6, 'address': '9mt4LkTG28B1mQKPjCKkGwMjGywS9q3v59XBomFNpump', 'amount': 31112289683, 'uiAmount': 31112.289683, 'price': 7.387082364485535e-06, 'nearestPrice': 7.463998315319315e-06, 'changeAmount': -31112289683, 'uiChangeAmount': -31112.289683}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 1446648, 'feeInfo': None, 'uiAmount': 0.001446648, 'price': None, 'nearestPrice': 158.87005438507126, 'changeAmount': 1446648, 'uiChangeAmount': 0.001446648}",,7.387082364485535e-06,5xoYSQiM3bU2HiEnbLZhjWDJS5GgPknsTtpPnaR2ptDrz7UxvYkGP72NcKK4aXGaiaLQ71vnUD9QBZ3a5JebZDuA,raydium,1729416314,swap,HTiA6VR8QpFVeVj2UXACZJpG9ZS4TZyfxpbXtWAzHZmE,sell,,4.649763854540285e-08,"{'symbol': 'server', 'decimals': 6, 'address': '9mt4LkTG28B1mQKPjCKkGwMjGywS9q3v59XBomFNpump', 'amount': 31112289683, 'uiAmount': 31112.289683, 'price': 7.387082364485535e-06, 'nearestPrice': 7.463998315319315e-06, 'changeAmount': -31112289683, 'uiChangeAmount': -31112.289683}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 1446648, 'feeInfo': None, 'uiAmount': 0.001446648, 'price': None, 'nearestPrice': 158.87005438507126, 'changeAmount': 1446648, 'uiChangeAmount': 0.001446648}",7.387082364485535e-06,6fDdejTDWDWaDxG1YrKLn9XnKC1o1CWLjymNYVhV1qw2,2024-10-20 09:25:14
