quote,base,basePrice,quotePrice,txHash,source,blockUnixTime,txType,owner,side,alias,pricePair,from,to,tokenPrice,poolId,timestamp
"{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 26, 'uiAmount': 2.6e-08, 'price': None, 'nearestPrice': 153.1604256789226, 'changeAmount': -26, 'uiChangeAmount': -2.6e-08}","{'symbol': 'XUOY', 'decimals': 6, 'address': 'AqaMVjPS7sauunxejZf3fRUME7Dd5fevS4HdpZmVH52T', 'amount': 28202068944, 'feeInfo': None, 'uiAmount': 28202.068944, 'price': None, 'nearestPrice': 0.24876378991777057, 'changeAmount': 28202068944, 'uiChangeAmount': 28202.068944}",,,PtWmmFwTjhYfLjFd1YMTBHV9yTSLpEuxn8Ns9oJXRPu6UPWCP3oBWSDB8q9yH4dJM5PHg3tmA9smkcbWFt5dZDM,raydium,1729253559,swap,DzYV9AFEbe9eGc8GRaNvsGjnt7coYiLDY7omCS1jykJU,buy,,9.219181774084526e-13,"{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 26, 'uiAmount': 2.6e-08, 'price': None, 'nearestPrice': 153.1604256789226, 'changeAmount': -26, 'uiChangeAmount': -2.6e-08}","{'symbol': 'XUOY', 'decimals': 6, 'address': 'AqaMVjPS7sauunxejZf3fRUME7Dd5fevS4HdpZmVH52T', 'amount': 28202068944, 'feeInfo': None, 'uiAmount': 28202.068944, 'price': None, 'nearestPrice': 0.24876378991777057, 'changeAmount': 28202068944, 'uiChangeAmount': 28202.068944}",,2z4PAJ99zMVH3ndQKJAYEvwhuL97nwcX8aNaMRszb9ng,2024-10-18 12:12:39
"{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 5203, 'feeInfo': None, 'uiAmount': 5.203e-06, 'price': None, 'nearestPrice': 149.02516344464829, 'changeAmount': 5203, 'uiChangeAmount': 5.203e-06}","{'symbol': 'XUOY', 'decimals': 6, 'address': 'AqaMVjPS7sauunxejZf3fRUME7Dd5fevS4HdpZmVH52T', 'amount': 56128107634, 'uiAmount': 56128.107634, 'price': None, 'nearestPrice': 0.24876378991777057, 'changeAmount': -56128107634, 'uiChangeAmount': -56128.107634}",,,348h7vRxwPXGBoeoyq9n3iVSf87XavWc6k1oJ9xKDCoDUnMdsZPjtQMUz1kYJqRGLTRo2PGGAVTbQcHXnP9PoUar,raydium,1728324117,swap,6NhiQ4q9bSxLQZB2fTsZDkN657JeDeedjfnhv1invsWt,sell,,9.269865347906805e-11,"{'symbol': 'XUOY', 'decimals': 6, 'address': 'AqaMVjPS7sauunxejZf3fRUME7Dd5fevS4HdpZmVH52T', 'amount': 56128107634, 'uiAmount': 56128.107634, 'price': None, 'nearestPrice': 0.24876378991777057, 'changeAmount': -56128107634, 'uiChangeAmount': -56128.107634}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 5203, 'feeInfo': None, 'uiAmount': 5.203e-06, 'price': None, 'nearestPrice': 149.02516344464829, 'changeAmount': 5203, 'uiChangeAmount': 5.203e-06}",,2z4PAJ99zMVH3ndQKJAYEvwhuL97nwcX8aNaMRszb9ng,2024-10-07 18:01:57
"{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 445, 'feeInfo': None, 'uiAmount': 4.45e-07, 'price': None, 'nearestPrice': 149.8389542417998, 'changeAmount': 445, 'uiChangeAmount': 4.45e-07}","{'symbol': 'XUOY', 'decimals': 6, 'address': 'AqaMVjPS7sauunxejZf3fRUME7Dd5fevS4HdpZmVH52T', 'amount': 21742781, 'uiAmount': 21.742781, 'price': None, 'nearestPrice': 0.24876378991777057, 'changeAmount': -21742781, 'uiChangeAmount': -21.742781}",,,7TR2UyDCiQKPY6AYjjJJKiERB2C2Z5rXkAkAS9vF9NYyHKWdevEGutUUZCQgouy4FKhPLzZtTRxyM7oj5qg3rVF,raydium,1728276427,swap,CaShxDq2Vbdp2XryjDdUZthbTzwYsvKuH6Knn9pPi4xU,sell,,2.046656313191951e-08,"{'symbol': 'XUOY', 'decimals': 6, 'address': 'AqaMVjPS7sauunxejZf3fRUME7Dd5fevS4HdpZmVH52T', 'amount': 21742781, 'uiAmount': 21.742781, 'price': None, 'nearestPrice': 0.24876378991777057, 'changeAmount': -21742781, 'uiChangeAmount': -21.742781}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 445, 'feeInfo': None, 'uiAmount': 4.45e-07, 'price': None, 'nearestPrice': 149.8389542417998, 'changeAmount': 445, 'uiChangeAmount': 4.45e-07}",,2z4PAJ99zMVH3ndQKJAYEvwhuL97nwcX8aNaMRszb9ng,2024-10-07 04:47:07
"{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 1045, 'feeInfo': None, 'uiAmount': 1.045e-06, 'price': None, 'nearestPrice': 136.96704845247012, 'changeAmount': 1045, 'uiChangeAmount': 1.045e-06}","{'symbol': 'XUOY', 'decimals': 6, 'address': 'AqaMVjPS7sauunxejZf3fRUME7Dd5fevS4HdpZmVH52T', 'amount': 39635528, 'uiAmount': 39.635528, 'price': None, 'nearestPrice': 0.24876378991777057, 'changeAmount': -39635528, 'uiChangeAmount': -39.635528}",,,2jSF7RuGpqW8ua7FBdKxrmpZQxuSUQzev8Y9VVsszkLESs2KGNS7nzbd1mKS3oXTkNBP2bGBSem4yDMzSzVoYEQ8,raydium,1727944336,swap,ATomG2gRJcB2jNvwcjo2zBMoyLsHZzLgwqy651zzYoCq,sell,,2.636523474595822e-08,"{'symbol': 'XUOY', 'decimals': 6, 'address': 'AqaMVjPS7sauunxejZf3fRUME7Dd5fevS4HdpZmVH52T', 'amount': 39635528, 'uiAmount': 39.635528, 'price': None, 'nearestPrice': 0.24876378991777057, 'changeAmount': -39635528, 'uiChangeAmount': -39.635528}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 1045, 'feeInfo': None, 'uiAmount': 1.045e-06, 'price': None, 'nearestPrice': 136.96704845247012, 'changeAmount': 1045, 'uiChangeAmount': 1.045e-06}",,2z4PAJ99zMVH3ndQKJAYEvwhuL97nwcX8aNaMRszb9ng,2024-10-03 08:32:16
"{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 623, 'feeInfo': None, 'uiAmount': 6.23e-07, 'price': None, 'nearestPrice': 140.09402298510062, 'changeAmount': 623, 'uiChangeAmount': 6.23e-07}","{'symbol': 'XUOY', 'decimals': 6, 'address': 'AqaMVjPS7sauunxejZf3fRUME7Dd5fevS4HdpZmVH52T', 'amount': 18275961, 'uiAmount': 18.275961, 'price': None, 'nearestPrice': 0.24876378991777057, 'changeAmount': -18275961, 'uiChangeAmount': -18.275961}",,,M74DY7zcZ5sJgypk6odv4JTsdK6cq9d3aSB7kitptcw6sXyjZ5PHcYeMS6r96uo1rdDVq9zh9ypdaFMv8BU21au,raydium,1727913621,swap,FENNES8B41Tw8SuiwqkV7T48g8Ar8F1pANgiZ4z67xzb,sell,,3.4088494717186144e-08,"{'symbol': 'XUOY', 'decimals': 6, 'address': 'AqaMVjPS7sauunxejZf3fRUME7Dd5fevS4HdpZmVH52T', 'amount': 18275961, 'uiAmount': 18.275961, 'price': None, 'nearestPrice': 0.24876378991777057, 'changeAmount': -18275961, 'uiChangeAmount': -18.275961}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 623, 'feeInfo': None, 'uiAmount': 6.23e-07, 'price': None, 'nearestPrice': 140.09402298510062, 'changeAmount': 623, 'uiChangeAmount': 6.23e-07}",,2z4PAJ99zMVH3ndQKJAYEvwhuL97nwcX8aNaMRszb9ng,2024-10-03 00:00:21
"{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 1765, 'feeInfo': None, 'uiAmount': 1.765e-06, 'price': None, 'nearestPrice': 144.89702039681137, 'changeAmount': 1765, 'uiChangeAmount': 1.765e-06}","{'symbol': 'XUOY', 'decimals': 6, 'address': 'AqaMVjPS7sauunxejZf3fRUME7Dd5fevS4HdpZmVH52T', 'amount': 38147509, 'uiAmount': 38.147509, 'price': None, 'nearestPrice': 0.24876378991777057, 'changeAmount': -38147509, 'uiChangeAmount': -38.147509}",,,4G9PHpbRF4kQMeffL4CmTcfsRQWBdiwAVSx4XdS4LEGVckUJaYJ9xdqtiWpvXw2fvRCQxLN8LCREQj1g7DhimAnc,raydium,1727827228,swap,75RBnyF168q4txJcURgE3eVqyazPaoderqv18LWETvM6,sell,,4.626776547847463e-08,"{'symbol': 'XUOY', 'decimals': 6, 'address': 'AqaMVjPS7sauunxejZf3fRUME7Dd5fevS4HdpZmVH52T', 'amount': 38147509, 'uiAmount': 38.147509, 'price': None, 'nearestPrice': 0.24876378991777057, 'changeAmount': -38147509, 'uiChangeAmount': -38.147509}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 1765, 'feeInfo': None, 'uiAmount': 1.765e-06, 'price': None, 'nearestPrice': 144.89702039681137, 'changeAmount': 1765, 'uiChangeAmount': 1.765e-06}",,2z4PAJ99zMVH3ndQKJAYEvwhuL97nwcX8aNaMRszb9ng,2024-10-02 00:00:28
"{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 1560, 'feeInfo': None, 'uiAmount': 1.56e-06, 'price': None, 'nearestPrice': 148.65424233227282, 'changeAmount': 1560, 'uiChangeAmount': 1.56e-06}","{'symbol': 'XUOY', 'decimals': 6, 'address': 'AqaMVjPS7sauunxejZf3fRUME7Dd5fevS4HdpZmVH52T', 'amount': 23193478, 'uiAmount': 23.193478, 'price': None, 'nearestPrice': 0.24876378991777057, 'changeAmount': -23193478, 'uiChangeAmount': -23.193478}",,,4zF6qaUh3c441pmwN6Fm2VSG2AEm4Ykg5cYGqmraVt1KWjvEDTzzwUgnnP99jSMyUt2UpnrVbkiE4NY6v7DEAHPD,raydium,1727807280,swap,2rbMgYvzAb3xDk6vXrzKkY3VwsmyDZsJTkvB3JJYsRzA,sell,,6.726028756877257e-08,"{'symbol': 'XUOY', 'decimals': 6, 'address': 'AqaMVjPS7sauunxejZf3fRUME7Dd5fevS4HdpZmVH52T', 'amount': 23193478, 'uiAmount': 23.193478, 'price': None, 'nearestPrice': 0.24876378991777057, 'changeAmount': -23193478, 'uiChangeAmount': -23.193478}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 1560, 'feeInfo': None, 'uiAmount': 1.56e-06, 'price': None, 'nearestPrice': 148.65424233227282, 'changeAmount': 1560, 'uiChangeAmount': 1.56e-06}",,2z4PAJ99zMVH3ndQKJAYEvwhuL97nwcX8aNaMRszb9ng,2024-10-01 18:28:00
"{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 6672, 'uiAmount': 6.672e-06, 'price': None, 'nearestPrice': 149.48858552303, 'changeAmount': -6672, 'uiChangeAmount': -6.672e-06}","{'symbol': 'XUOY', 'decimals': 6, 'address': 'AqaMVjPS7sauunxejZf3fRUME7Dd5fevS4HdpZmVH52T', 'amount': 224945659, 'feeInfo': None, 'uiAmount': 224.945659, 'price': None, 'nearestPrice': 0.24876378991777057, 'changeAmount': 224945659, 'uiChangeAmount': 224.945659}",,,56yFyDKLZsFGsfyezmqiDKW5Ayjmps3nBQJ2i3kDemfqz728yanxJ9H8pGTqbxHbVVubDrMTTZHx79onEhqk137o,raydium,1727798405,swap,4So4CtUHiL98q9fx7KDYp5Nrdfe98FMRGPG55Trtc3CH,buy,,2.9660496804697173e-08,"{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 6672, 'uiAmount': 6.672e-06, 'price': None, 'nearestPrice': 149.48858552303, 'changeAmount': -6672, 'uiChangeAmount': -6.672e-06}","{'symbol': 'XUOY', 'decimals': 6, 'address': 'AqaMVjPS7sauunxejZf3fRUME7Dd5fevS4HdpZmVH52T', 'amount': 224945659, 'feeInfo': None, 'uiAmount': 224.945659, 'price': None, 'nearestPrice': 0.24876378991777057, 'changeAmount': 224945659, 'uiChangeAmount': 224.945659}",,2z4PAJ99zMVH3ndQKJAYEvwhuL97nwcX8aNaMRszb9ng,2024-10-01 16:00:05
"{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 29, 'feeInfo': None, 'uiAmount': 2.9e-08, 'price': None, 'nearestPrice': 156.37677281522932, 'changeAmount': 29, 'uiChangeAmount': 2.9e-08}","{'symbol': 'XUOY', 'decimals': 6, 'address': 'AqaMVjPS7sauunxejZf3fRUME7Dd5fevS4HdpZmVH52T', 'amount': 2654441, 'uiAmount': 2.654441, 'price': None, 'nearestPrice': 0.24876378991777057, 'changeAmount': -2654441, 'uiChangeAmount': -2.654441}",,,3E3pfxTyq3agrPQccntn4RU3KgJ87WDw49ndXKt9xvtS1HhSP6FT2gVVcfRUrFMQDyKFR7v7GeiXwiiYsh7PyLsf,raydium,1727770327,swap,7cythi3NZvq4TTckJAx84B3LuyZ6y1jThePtnJB6RQ9Q,sell,,1.092508742895397e-08,"{'symbol': 'XUOY', 'decimals': 6, 'address': 'AqaMVjPS7sauunxejZf3fRUME7Dd5fevS4HdpZmVH52T', 'amount': 2654441, 'uiAmount': 2.654441, 'price': None, 'nearestPrice': 0.24876378991777057, 'changeAmount': -2654441, 'uiChangeAmount': -2.654441}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 29, 'feeInfo': None, 'uiAmount': 2.9e-08, 'price': None, 'nearestPrice': 156.37677281522932, 'changeAmount': 29, 'uiChangeAmount': 2.9e-08}",,2z4PAJ99zMVH3ndQKJAYEvwhuL97nwcX8aNaMRszb9ng,2024-10-01 08:12:07
"{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 1, 'feeInfo': None, 'uiAmount': 1e-09, 'price': None, 'nearestPrice': 155.46865789400618, 'changeAmount': 1, 'uiChangeAmount': 1e-09}","{'symbol': 'XUOY', 'decimals': 6, 'address': 'AqaMVjPS7sauunxejZf3fRUME7Dd5fevS4HdpZmVH52T', 'amount': 124512, 'uiAmount': 0.124512, 'price': None, 'nearestPrice': 0.24876378991777057, 'changeAmount': -124512, 'uiChangeAmount': -0.124512}",,,rptmsWqeubDKFm21aVe6P78XXi6Y5aWxeHt6KACkseD78R63YVNP5WYixW9ZDN8FmVzcgqhapRzDmxueu6NrB5Z,raydium,1727762474,swap,FzEE43M7cFK1XzntomkpeLrhLsVWB9rvBcPKYnjXQkmY,sell,,8.0313544076073e-09,"{'symbol': 'XUOY', 'decimals': 6, 'address': 'AqaMVjPS7sauunxejZf3fRUME7Dd5fevS4HdpZmVH52T', 'amount': 124512, 'uiAmount': 0.124512, 'price': None, 'nearestPrice': 0.24876378991777057, 'changeAmount': -124512, 'uiChangeAmount': -0.124512}","{'symbol': 'SOL', 'decimals': 9, 'address': 'So11111111111111111111111111111111111111112', 'amount': 1, 'feeInfo': None, 'uiAmount': 1e-09, 'price': None, 'nearestPrice': 155.46865789400618, 'changeAmount': 1, 'uiChangeAmount': 1e-09}",,2z4PAJ99zMVH3ndQKJAYEvwhuL97nwcX8aNaMRszb9ng,2024-10-01 06:01:14
