,count,mean,std,min,25%,50%,75%,max,correlation_with_target
future_price_increase,7319.0,123.89257991721573,1122.8440406449588,5.000060866282426,6.077679809022383,7.733918693675908,13.116830462526325,14792.99521567458,0.1457563423926424
price_mean,7319.0,0.1660884612819547,1.1676643952612296,3.4932056157756723e-07,5.665052669763376e-05,0.00039603871511078594,0.0023181548787043252,11.234179654018888,-0.046908109567886096
price_std,7319.0,0.0036895382633347633,0.036169388708889784,0.0,3.2512875241837733e-06,3.216809406035185e-05,0.00017263425223369271,0.40247514488851893,-0.04418592251569689
price_min,7319.0,0.16041878746644747,1.1185941877665542,2.8389851110874595e-07,5.0254755464981524e-05,0.00034123644807288855,0.001953373986413442,10.624859494673716,-0.04673629743963609
price_max,7319.0,0.1723759393179636,1.2227317409688263,4.114888606250514e-07,6.352528586002086e-05,0.00047364844581184785,0.0026213169908151893,11.868427879677233,-0.04697218141561161
price_last,7319.0,0.16068509575778706,1.118558522788029,3.5779986019817247e-07,6.0012524072779586e-05,0.00042114704841503286,0.0024959824997825347,10.624859494673716,-0.04645428095203649
price_change_3m,7319.0,0.01153793034221587,0.09033184884810919,-0.33142790075528006,-0.022678547045072182,0.0,0.03095036189205218,0.8799628016781168,0.5546942691103417
volatility_3m,7319.0,0.030396213367080715,0.03877534965096223,0.0,0.0028135435172968425,0.017891202961974696,0.043073133584174084,0.48426654804480335,0.10125858143853811
momentum_3m,7319.0,0.005448246332789781,0.042727389054047195,-0.17678859835706845,-0.010577192231079446,0.0,0.01629103400623627,0.3713557314422513,0.5357566348986434
momentum_std_3m,7319.0,0.030396213367080715,0.03877534965096223,0.0,0.0028135435172968425,0.017891202961974696,0.043073133584174084,0.48426654804480335,0.10125858143853811
acceleration_3m,7319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
trend_strength_3m,7319.0,5.979144981925919,91.99625158191883,0.0,0.44507918564583,1.414213562373004,2.5612728282593067,5500.086039605639,0.014570481080953613
trend_consistency_3m,7319.0,0.40490504167235963,0.37803412410698606,0.0,0.0,0.5,0.5,1.0,0.26452405104143684
momentum_strength_3m,7319.0,2.973325570287883,46.019088350133536,0.0,0.212442261626035,0.7071067811865475,1.289495930540447,2751.455786828348,0.01151781571481968
volatility_acceleration_3m,6967.0,0.6849463080288982,0.664645646023919,0.0,0.13321729949673033,0.50198517092427,1.0602677106465053,3.3676503000740534,8.144448392026209e-05
volatility_adjusted_momentum_3m,7319.0,-0.7449551469817217,46.109037417732104,-2751.455786828348,-0.7071067811865475,0.0,0.6834664985007671,108.0019969953078,0.03443724699890139
price_change_5m,7319.0,0.01445460097808848,0.11660730861645016,-0.32411658916745983,-0.03878784823039162,0.0,0.048041789844755024,0.9703112160476899,0.6284807762432689
volatility_5m,7319.0,0.03661150445691444,0.034383388298636505,0.0,0.012404371587976568,0.029032960102236757,0.052721840607797076,0.2918688877963201,0.3613586708220149
momentum_5m,7319.0,0.0033828241918366525,0.027928309952354936,-0.08618599874846433,-0.009195375904302222,0.0,0.01254539383912559,0.19757217817258743,0.61721899511711
momentum_std_5m,7319.0,0.03661150445691444,0.034383388298636505,0.0,0.012404371587976568,0.029032960102236757,0.052721840607797076,0.2918688877963201,0.3613586708220149
acceleration_5m,7319.0,0.004130844281906258,0.055920775655495386,-0.28512704979393483,-0.01739306539569163,0.0,0.02442567675223639,0.34756710653932776,0.20220029880555448
trend_strength_5m,7319.0,3.0122907320530183,8.37924057573954,0.0,0.6972758617178811,1.7641744476706624,2.927623968102619,119.03705279051364,0.0012871007679932625
trend_consistency_5m,7319.0,0.39739035387348,0.30666063130596655,0.0,0.0,0.5,0.75,1.0,0.2996767159581955
momentum_strength_5m,7319.0,0.7520123995810667,2.096745796892762,0.0,0.18172431747186757,0.4381161802744213,0.7459331407415902,29.805698614907516,-0.0047146928827596565
volatility_acceleration_5m,6967.0,0.8047899547538694,0.49125871444024777,0.0,0.44718451156258987,0.7751126434487339,1.1049321417858964,2.031905518125911,0.08209648764999986
volatility_adjusted_momentum_5m,7319.0,-0.22973003876610923,2.215662375389103,-29.805698614907516,-0.5,0.0,0.40581096395463057,5.74327270670753,0.14025206972742407
price_change_10m,7319.0,0.01532894899855104,0.1897787916320093,-0.5789524824188588,-0.07483636540482017,-0.00420745672304361,0.09061447757636111,1.849525346329489,0.8287592579850593
volatility_10m,7319.0,0.042352926308271546,0.03371162487499286,0.0,0.017637059427734053,0.038739575667724506,0.06018806284662507,0.23561752662690727,0.3909968336300853
momentum_10m,7319.0,0.0015520178467362498,0.0190013709323158,-0.08106814595058966,-0.008238720796588446,0.0,0.0110889615555,0.14309433127300838,0.8037768766489649
momentum_std_10m,7319.0,0.042352926308271546,0.03371162487499286,0.0,0.017637059427734053,0.038739575667724506,0.06018806284662507,0.23561752662690727,0.3909968336300853
acceleration_10m,7319.0,0.0021741259760638975,0.03874827941058242,-0.21450809124379938,-0.014094952229311931,0.0001330342338365046,0.018372023385228132,0.2562668108521132,0.25637297690905325
trend_strength_10m,7319.0,4.698024938204286,16.71982579106371,0.0,1.0659611757972756,2.72324445559307,4.086891183291044,208.59627432045943,-0.014132817147677614
trend_consistency_10m,7319.0,0.3746413444459626,0.2478789536161075,0.0,0.2222222222222222,0.4444444444444444,0.5555555555555556,1.0,0.3508701655580723
momentum_strength_10m,7319.0,0.5242697205906738,1.8683496870598169,0.0,0.12216410799502979,0.305538642446262,0.4535760687211158,23.273826879398477,-0.02368239198090479
volatility_acceleration_10m,6967.0,0.946804151626455,0.29457405147792287,0.0,0.8042820401095023,1.0179341939254285,1.165579531239842,1.322023637700082,0.08607816916007266
volatility_adjusted_momentum_10m,7319.0,-0.24701008251701778,1.9247349256322694,-23.273826879398477,-0.3333333333333333,0.0,0.2707132658250548,3.4681528135084254,0.1367332749039943
price_change_15m,7319.0,0.023398855075011517,0.24736927746311918,-0.6489391872785197,-0.09701345571198423,-0.007113089215697067,0.09459681648903567,2.5188512113274197,1.0
volatility_15m,7319.0,0.04474672728773111,0.0333935224514598,0.0,0.022872896409027565,0.042107152531395936,0.0616992452429931,0.3205977962451418,0.34336803103660624
momentum_15m,7319.0,0.0015854679192121876,0.015243116119953324,-0.0648174543409522,-0.006318295061523752,-0.00024247096404006463,0.008004699177992292,0.11131671194847727,0.9710452238878435
momentum_std_15m,7319.0,0.04474672728773111,0.0333935224514598,0.0,0.022872896409027565,0.042107152531395936,0.0616992452429931,0.3205977962451418,0.34336803103660624
acceleration_15m,7319.0,0.001198369933472411,0.030374965192960922,-0.13441795010566793,-0.014725670335887658,0.0,0.015624401304874531,0.13869508213873802,0.13899948345551086
trend_strength_15m,7319.0,6.501864923219361,28.89915135478943,0.0,1.357556810332628,3.0915652920502854,4.967635224162428,361.6381420605206,0.0006001131727502619
trend_consistency_15m,7319.0,0.37972595787871094,0.22139144293425866,0.0,0.21428571428571427,0.42857142857142855,0.5714285714285714,0.8571428571428571,0.38409146806218664
momentum_strength_15m,7319.0,0.46649834134835116,2.0825833779248053,0.0,0.09658713642564412,0.22571205457152407,0.3591699285541316,26.00544959567451,-0.011149371079930507
volatility_acceleration_15m,6967.0,0.9855907253833884,0.12247329653923578,0.0,0.9972682779782474,1.0283302562031726,1.035572677990625,1.0377489822805894,0.0741830515267593
volatility_adjusted_momentum_15m,7319.0,-0.25729480366847396,2.1186302895862275,-26.00544959567451,-0.2555760569019638,-0.011923095749771202,0.19204720910860373,0.8552865686022586,0.12223296826894232
volume_total,7319.0,461102562129288.8,4746070582310855.0,34165789.0,275610382456.0,2211841064230.0,11994762637309.5,1.036426397031506e+17,-0.02963074384694797
volume_mean,7319.0,46110256212928.88,474607058231085.6,3416578.9,27561038245.6,221184106423.0,1199476263730.9502,1.036426397031506e+16,-0.02963074384694803
volume_std,7319.0,111338915860557.02,1236781593963227.5,2831343.6166010355,45961592119.562256,375246213064.0564,2871249552503.918,1.7214169293440078e+16,-0.028238934386617832
volume_skew,7319.0,2.034054933040402,0.9701469473417835,-1.7471501243384548,1.4251210156328322,2.135201994760843,2.8884387149831676,3.1622776590649084,0.04075397082963745
volume_kurtosis,7319.0,4.553817077617706,4.169607067216841,-2.272891318842954,0.7355451833714612,4.629393045199339,8.725461404080747,9.999999994882046,0.04430854289004116
avg_trade_interval,7319.0,1164.6784169057705,2549.4599019780376,0.0,15.11111111111111,96.22222222222223,713.0,17472.88888888889,-0.03849799658092538
trade_interval_std,7319.0,1242.612675152098,2704.2330050306687,0.0,22.640916746260768,86.86483753510393,833.9533526789401,30458.91053306259,-0.039089372529154
trade_interval_skew,7319.0,1.4328354619353054,0.8206117511326839,-0.5545830633588575,0.7897990348528352,1.4146053287315803,2.1213182068513676,3.000000000000001,0.05707828261714537
whale_trade_count,7319.0,1.0259598305779478,0.1590263282564745,1.0,1.0,1.0,1.0,2.0,-0.04218763630706726
whale_volume_ratio,7319.0,0.5557752316048711,0.21516846520652835,0.10873646236399782,0.3753914473019615,0.5508744785001023,0.6960712225936304,0.9999837568895001,0.0017575675171684088
volume_1m,7319.0,24928503353528.96,495435477273059.2,20031.0,6263997582.5,121406612115.0,701555893299.0,3.925369667794766e+16,-0.011226154318759401
trades_count_1m,7319.0,3.426424374914606,3.3866716541247515,1.0,1.0,1.0,5.0,10.0,0.03580376780058148
avg_trade_size_1m,7319.0,22518706338610.54,494627282593786.06,6677.0,2204364600.5,43196333333.333336,498342018063.0,3.925369667794766e+16,-0.010989605059075444
